semilla	cp	maxdepth	minsplit	minbucket	ganancia_test
241303	-0.5	4	20	5	5270000
933403	-0.5	4	20	5	8230000
647201	-0.5	4	20	5	9850000
338213	-0.5	4	20	5	9850000
872393	-0.5	4	20	5	10520000
823789	-0.5	4	20	5	8850000
202757	-0.5	4	20	5	10280000
747427	-0.5	4	20	5	8050000
706313	-0.5	4	20	5	9430000
373193	-0.5	4	20	5	9030000
337903	-0.5	4	20	5	7970000
643703	-0.5	4	20	5	8960000
966613	-0.5	4	20	5	8060000
522317	-0.5	4	20	5	7720000
896717	-0.5	4	20	5	7470000
322397	-0.5	4	20	5	8840000
937589	-0.5	4	20	5	10830000
462239	-0.5	4	20	5	10740000
861599	-0.5	4	20	5	10360000
449671	-0.5	4	20	5	6890000
241303	-0.5	4	20	5	5270000
933403	-0.5	4	20	5	8230000
647201	-0.5	4	20	5	9850000
338213	-0.5	4	20	5	9850000
872393	-0.5	4	20	5	10520000
823789	-0.5	4	20	5	8850000
202757	-0.5	4	20	5	10280000
747427	-0.5	4	20	5	8050000
706313	-0.5	4	20	5	9430000
373193	-0.5	4	20	5	9030000
337903	-0.5	4	20	5	7970000
643703	-0.5	4	20	5	8960000
966613	-0.5	4	20	5	8060000
522317	-0.5	4	20	5	7720000
896717	-0.5	4	20	5	7470000
322397	-0.5	4	20	5	8840000
937589	-0.5	4	20	5	10830000
462239	-0.5	4	20	5	10740000
861599	-0.5	4	20	5	10360000
449671	-0.5	4	20	5	6890000
241303	-0.5	4	20	5	5270000
933403	-0.5	4	20	5	8230000
647201	-0.5	4	20	5	9850000
338213	-0.5	4	20	5	9850000
872393	-0.5	4	20	5	10520000
823789	-0.5	4	20	5	8850000
202757	-0.5	4	20	5	10280000
747427	-0.5	4	20	5	8050000
706313	-0.5	4	20	5	9430000
373193	-0.5	4	20	5	9030000
337903	-0.5	4	20	5	7970000
643703	-0.5	4	20	5	8960000
966613	-0.5	4	20	5	8060000
522317	-0.5	4	20	5	7720000
896717	-0.5	4	20	5	7470000
322397	-0.5	4	20	5	8840000
937589	-0.5	4	20	5	10830000
462239	-0.5	4	20	5	10740000
